bookName,ISBN_API,year
On Grandma's Porch: Stories and True Facts about Growing up Southern in the Good Old Days,9780976876021,June 2007
Tuscany in Mind,9781400076758,May 2005
Don't Squat With Yer Spurs On!: A Cowboy's Guide to Life,9780879054700,October 2000
Love and Marriage in Early African America,9781555536770,December 2007
"Twenty One-Acts from the Twenty Years at the Humana Festival, 1975-1995",9781880399989,December 1995
American Austen: The Forgotten Writing of Agnes Repplier,9781933859866,May 2009
American Gothic: An Anthology 1787-1916 (Blackwell Anthologies Series),9780631206521,June 1999
The Best American Poetry 2009,9780743299763,September 2009
Bold Words: A Century of Asian American Writing,9780813529660,January 2001
Another Way to Dance: Contemporqary Asian Poetry from Canada and the United States,9780920661598,January 1996
The Best American Poetry 2003,9780743203883,August 2003
Plays and Playwrights 2002,9780967023434,January 2002
"Why Freedom Matters: The Spirit of the Declaration of Independence in Prose, Poetry, and Song from 1776 to the Present",9780761131656,September 2003
The Best American Short Plays 2006-2007,9781557837479,June 2010
Forced Passages: Imprisoned Radical Intellectuals and the U.S. Prison Regime,9780816645619,January 2006
Selected Works,9780395980750,April 2002
Getting Home Alive,9780932379191,December 1986
Twentieth-Century American Poetry,9780072400199,December 2003
Plays and Playwrights 2009,9780979485220,February 2009
Through the Eye of the Deer: An Anthology of Native American Women Writers,9781879960589,September 1999
Asian American Studies: A Reader,9780813527260,May 2000
Latinos in Lotusland: An Anthology of Contemporary Southern California Literature,9781931010474,April 2008
Daughters Of Decadence,9780813520186,August 1993
"American Tradition in Literature : With American Ariel, Vol. 2",9780073221533,October 2006
Best American Nonrequired Reading 2005,9780618570485,October 2005
Sister Nations: Native American Women Writing on Community,9780873514286,March 2002
Asian-American Literature: A Brief Introduction and Anthology,9780673469779,January 1997
Black Silk: A Collection of African-American Erotica,9780446676915,February 2002
The Best Plays Theater Yearbook 2007-2008,9780879103668,October 2009
"Damage Control: Women on the Therapists, Beauticians, and Trainers Who Navigate Their Bodies",9780061175350,June 2007
The Prentice Hall Anthology of Latino Literature,9780130266873,August 1901
The Norton Book of American Autobiography,9780393046779,March 1999
New Playwrights: The Best Plays of 2000,9781575252490,January 2003
Xerophilia: Ecocritical Explorations in Southwestern Literature,9780896726383,December 2008
"The New Anthology of American Poetry: Volume I: Traditions and Revolutions, Beginnings to 1900",9780813531625,March 2003
